channel_id,channel_label,strategy,timeframe_minutes,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,month,phase
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-13T13:15:00+00:00,2025-08-13T13:15:00+00:00,2025-08-13T13:45:00+00:00,1,120470.4,120171.77568870249,121067.648622595,120171.57568870249,298.6243112975051,-1.000669737835909,0.4029175900701575,-1.4035873279060667,False,STOP,6,248.85359274792089,27.95943587369874,59.609722075330104,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-13T14:00:00+00:00,2025-08-13T14:00:00+00:00,2025-08-13T14:50:00+00:00,1,121777.5,121305.45715309016,122721.5856938197,121305.25715309016,472.04284690984525,-1.0004236903520554,0.2574795474016749,-1.2579032377537303,False,STOP,10,393.36903909153773,27.079737162459406,74.29009893471542,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-13T15:15:00+00:00,2025-08-13T15:15:00+00:00,2025-08-13T15:25:00+00:00,1,120971.0,120417.80468257701,122077.39063484596,120417.60468257702,553.1953174229814,-1.0003615359597278,0.21817665215160137,-1.218538188111329,False,STOP,2,460.99609785248447,24.4702593515951,54.80302503063452,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-13T15:45:00+00:00,2025-08-13T15:45:00+00:00,2025-08-13T19:25:00+00:00,1,121306.2,120692.69362936488,122533.21274127024,122533.01274127024,613.5063706351207,1.9996740050151571,0.19872590115799482,1.8009481038571624,True,TARGET,44,511.2553088626006,22.52771677459823,57.805689418392795,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-14T02:45:00+00:00,2025-08-14T02:45:00+00:00,2025-08-14T04:50:00+00:00,1,123607.8,123136.57669297505,124550.2466140499,123136.37669297506,471.22330702494907,-1.000424427223815,0.26181236476903624,-1.2622367919928512,False,STOP,25,392.6860891874576,41.55737567387449,58.20997380339872,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-14T19:45:00+00:00,2025-08-14T19:45:00+00:00,2025-08-15T01:45:00+00:00,-1,118125.8,118693.71173642387,116989.97652715228,118567.7,567.9117364238592,-0.7781138716777345,0.20838933659872855,-0.9865032082764631,False,TIME_EXIT,72,473.25978035321606,47.8107570733439,44.452353874621906,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-15T05:45:00+00:00,2025-08-15T05:45:00+00:00,2025-08-15T06:00:00+00:00,-1,118658.1,118957.63650110636,118059.02699778728,118957.83650110636,299.5365011063595,-1.0006676982579883,0.39663936719474074,-1.397307065452729,False,STOP,3,249.61375092196624,18.377598819303405,50.7329016126893,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-15T06:00:00+00:00,2025-08-15T06:00:00+00:00,2025-08-15T10:00:00+00:00,1,118939.4,118628.58467754409,119561.0306449118,118628.38467754409,310.815322455905,-1.000643468920445,0.3821687148503555,-1.3828121837708005,False,STOP,48,259.01276871325416,18.132254053213963,58.10254151311645,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-15T18:00:00+00:00,2025-08-15T18:00:00+00:00,2025-08-16T00:00:00+00:00,-1,117543.7,118023.02047322154,116585.05905355692,117279.4,479.32047322153807,0.5514056143348702,0.24495417274974882,0.3064514415851214,True,TIME_EXIT,72,399.43372768461506,41.24294692415431,46.20375774616015,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-17T02:15:00+00:00,2025-08-17T02:15:00+00:00,2025-08-17T03:00:00+00:00,-1,117357.2,117591.9144,116887.7712,117592.11439999999,234.7144,-1.0008520994024832,0.5005004260497012,-1.5013525254521844,False,STOP,9,114.61651236005686,26.79002978306029,47.201554781476815,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-17T07:15:00+00:00,2025-08-17T07:15:00+00:00,2025-08-17T09:25:00+00:00,1,117961.5,117725.577,118433.346,118433.14600000001,235.923,1.9991522657816656,0.5009995761328908,1.4981526896487747,True,TARGET,26,129.86202495601464,33.6854027637704,60.86781268471682,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-17T12:15:00+00:00,2025-08-17T12:15:00+00:00,2025-08-17T13:15:00+00:00,1,118257.7,118021.1846,118730.73079999999,118020.9846,236.5154,-1.0008456108989139,0.4994995771945505,-1.5003451880934644,False,STOP,12,125.83489001873818,31.972036549282638,59.34226563223958,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-17T14:45:00+00:00,2025-08-17T14:45:00+00:00,2025-08-17T16:20:00+00:00,1,118208.3,117971.8834,118681.1332,117971.68340000001,236.41660000000002,-1.000845964285054,0.49949957701785747,-1.5003455413029114,False,STOP,19,140.2016172671477,24.055043725569654,52.51487857451715,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-17T22:00:00+00:00,2025-08-17T22:00:00+00:00,2025-08-17T22:40:00+00:00,-1,117647.90000000001,117883.19580000002,117177.30840000001,117883.39580000001,235.2958,-1.0008499939225615,0.5005004249969613,-1.5013504189195228,False,STOP,8,155.23268394270946,43.70367253902212,45.55669511056671,2025-08,development
