entry_time_utc,exit_time_utc,month,direction,family,entry,exit,stop,target,risk_abs,net_R,win,exit_reason,bars
2026-06-11T19:20:00+00:00,2026-06-11T20:25:00+00:00,2026-06,LONG,趋势回踩,63647.1,63372.95060713586,63373.15060713586,64359.368421446765,273.949392864141,-1.2325612940312602,False,SL,13
2026-06-12T10:45:00+00:00,2026-06-12T12:30:00+00:00,2026-06,LONG,趋势回踩,63695.5,63421.14228354721,63421.34228354721,64408.310062777266,274.15771645279375,-1.2325607390034812,False,SL,21
2026-06-13T08:05:00+00:00,2026-06-13T21:40:00+00:00,2026-06,LONG,趋势回踩,63799.799999999996,64513.57727746261,63525.19335482207,64513.77727746261,274.6066451779277,2.365640454195744,True,TP,163
2026-06-13T22:40:00+00:00,2026-06-14T07:05:00+00:00,2026-06,LONG,趋势回踩,64485.2,64207.44325177119,64207.64325177119,65206.8475453949,277.55674822880815,-1.232551800803901,False,SL,101
2026-06-16T08:30:00+00:00,2026-06-16T13:05:00+00:00,2026-06,LONG,趋势回踩,66583.9,66297.11001384752,66297.31001384751,67329.03396399644,286.5899861524772,-1.2325290771725343,False,SL,55
2026-06-17T22:00:00+00:00,2026-06-17T22:20:00+00:00,2026-06,SHORT,趋势回踩,63969.700000000004,64245.23965152395,64245.039651523955,63253.81690603773,275.33965152395183,-1.233556879547965,False,SL,4
2026-06-18T06:05:00+00:00,2026-06-18T07:15:00+00:00,2026-06,SHORT,趋势回踩,63893.4,64168.611240577375,64168.41124057738,63178.37077449882,275.0112405773773,-1.2335577465322278,False,SL,14
2026-06-18T14:10:00+00:00,2026-06-18T14:20:00+00:00,2026-06,SHORT,趋势回踩,63751.8,64026.401764954375,64026.20176495438,63038.355411118624,274.40176495437663,-1.2335593610089506,False,SL,2
2026-06-18T15:25:00+00:00,2026-06-18T15:50:00+00:00,2026-06,SHORT,趋势回踩,63214.700000000004,62507.46606315602,63486.78997570923,62507.26606315602,272.0899757092236,2.3682344494052026,True,TP,5
2026-06-18T18:35:00+00:00,2026-06-18T19:40:00+00:00,2026-06,SHORT,趋势回踩,62699.700000000004,62969.77330942501,62969.57330942501,61998.02939549499,269.873309425005,-1.2335715850856561,False,SL,13
2026-06-19T04:00:00+00:00,2026-06-19T04:15:00+00:00,2026-06,SHORT,趋势回踩,62608.600000000006,62878.28119622405,62878.081196224055,61907.948889817475,269.4811962240491,-1.2335726628798898,False,SL,3
2026-06-20T22:05:00+00:00,2026-06-21T20:45:00+00:00,2026-06,LONG,趋势回踩,64005.299999999996,63729.60884041157,63729.80884041157,64721.577014929906,275.49115958842657,-1.232557206249074,False,SL,272
2026-06-23T07:25:00+00:00,2026-06-23T08:20:00+00:00,2026-06,SHORT,趋势回踩,62966.100000000006,62422.99242560214,62422.79242560214,62261.44812998994,271.0199500038707,1.7726113084228785,True,TRAIL,11
2026-06-23T10:20:00+00:00,2026-06-23T14:10:00+00:00,2026-06,SHORT,趋势回踩,62337.9,62606.41604755776,62606.21604755776,61640.27827634982,268.31604755776175,-1.2335758840897622,False,SL,46
2026-06-25T14:10:00+00:00,2026-06-25T14:30:00+00:00,2026-06,SHORT,趋势回踩,59228.5,59636.81056171515,59636.610561715155,58167.4125395406,408.1105617151534,-1.1461188728619034,False,SL,4
2026-06-30T05:25:00+00:00,2026-06-30T05:55:00+00:00,2026-06,SHORT,趋势回踩,59356.200000000004,59611.882195403094,59611.6821954031,58691.946291951965,255.48219540309262,-1.2336133091526413,False,SL,6
