expert_id,expert,family,selected_policy_key,selected_tier,selected_trades,selected_active_months,legacy_score_winner_key,legacy_score_winner_tier,legacy_score_winner_trades,policy_changed_by_evidence_rule,selection_reason,mature_policy_available,mature_policy_protected,preferred_seed_anchor_available,selected_cluster_robust
12,区间扫低立即收回多头,流动性反转,52f3fa47b619e482,REJECTED,3,1,85bcae0edbb1c312,REJECTED,1,True,evidence_first,False,False,False,True
13,区间扫高立即跌回空头,流动性反转,77df21d40787c7a0,REJECTED,4,2,9725d216812a9017,REJECTED,2,True,evidence_first,False,False,False,False
14,扫低后确认K多头,流动性确认,2a8da9b9f57c9899,REJECTED,3,1,3bd6a29bd8ffd119,REJECTED,2,True,evidence_first,False,False,False,False
15,扫高后确认K空头,流动性确认,2605712f51fd787a,REJECTED,0,0,2605712f51fd787a,REJECTED,0,False,evidence_first,False,False,False,False
16,区间二次测试不破多头,二次测试,5911315f52956132,REJECTED,3,1,5911315f52956132,REJECTED,3,False,evidence_first,False,False,False,False
17,区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,4,2,f58e1769c9572a4e,REJECTED,0,True,evidence_first,False,False,False,False
18,扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,0,0,8faa2dfdd58009bb,REJECTED,0,False,evidence_first,False,False,False,False
19,扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,0,0,98c02f47708ca242,REJECTED,0,False,evidence_first,False,False,False,False
20,BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,0,0,afac444025613291,REJECTED,0,False,evidence_first,False,False,False,False
21,BTC强于ETH背离修复空头,跨资产背离,fca571982b7c88a0,CANDIDATE,6,3,9a19b379445c8be4,CANDIDATE,4,True,preferred_seed_anchor,False,False,True,True
22,压缩后首次放量突破多头,波动扩张,637dd7099e42148f,REJECTED,0,0,637dd7099e42148f,REJECTED,0,False,evidence_first,False,False,False,False
23,压缩后首次放量突破空头,波动扩张,59bcc3e64f2c7f94,REJECTED,3,1,3efd7aa105a06c7b,REJECTED,0,True,evidence_first,False,False,False,False
24,向下假突破回区间多头,假突破反转,d5f361a753574b48,REJECTED,1,1,542ba276eec5abee,REJECTED,0,True,evidence_first,False,False,False,False
25,向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,0,0,5f2fe4ee3fec03dd,REJECTED,0,False,evidence_first,False,False,False,False
26,资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,0,0,fcc89570f6af5d59,REJECTED,0,False,evidence_first,False,False,False,False
27,资金费率极端回归空头,衍生品反转,ab1a7bf6d11e9bd8,REJECTED,3,1,b02aa80e33f81c12,REJECTED,1,True,evidence_first,False,False,False,False
28,合约溢价极端修复多头,基差反转,48c0a571f023845e,REJECTED,1,1,61c7503426bc984b,REJECTED,0,True,evidence_first,False,False,False,False
29,合约溢价极端修复空头,基差反转,9cc0c5de692aa62f,REJECTED,0,0,9cc0c5de692aa62f,REJECTED,0,False,evidence_first,False,False,False,False
30,欧美开盘区间突破多头,开盘突破,f9b0b97528e653e7,REJECTED,6,2,7ec50392647cebba,REJECTED,1,True,evidence_first,False,False,False,False
31,欧美开盘区间突破空头,开盘突破,8f89911d444a7852,REJECTED,0,0,8f89911d444a7852,REJECTED,0,False,evidence_first,False,False,False,False
32,BTC强于ETH且溢价回落空头,跨资产衍生品,ad7bf81694ad15d4,REJECTED,0,0,ad7bf81694ad15d4,REJECTED,0,False,evidence_first,False,False,False,False
33,BTC强于ETH且主动卖盘空头,跨资产订单流,16e8ea0e0b751d8b,REJECTED,3,1,42cf6b5ef39eefab,REJECTED,1,True,evidence_first,False,False,False,True
34,BTC强于ETH欧美盘修复空头,跨资产时段,d9d64c6080c7757b,REJECTED,3,1,b64b02e61a1dfe58,REJECTED,1,True,evidence_first,False,False,False,False
35,ETH先跌BTC滞后补跌空头,跨资产领先滞后,1988519d498cd703,REJECTED,2,1,2ab044d21e95dd83,REJECTED,0,True,evidence_first,False,False,False,False
36,BTC弱于ETH且溢价回升多头,跨资产衍生品,d9882e2d61ed9961,REJECTED,0,0,d9882e2d61ed9961,REJECTED,0,False,evidence_first,False,False,False,False
37,ETH先涨BTC滞后补涨多头,跨资产领先滞后,6387acc3c2ec918d,REJECTED,1,1,b021b98c7d027d39,REJECTED,1,True,evidence_first,False,False,False,False
38,跨资产背离后VWAP失守空头,跨资产VWAP,47d7edd201629376,REJECTED,0,0,47d7edd201629376,REJECTED,0,False,evidence_first,False,False,False,False
39,跨资产背离后VWAP收回多头,跨资产VWAP,1d3bb2983569000d,REJECTED,0,0,1d3bb2983569000d,REJECTED,0,False,evidence_first,False,False,False,False
