rank,score,qualified,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,net_R,max_drawdown_R,config
21,213.95292157655945,False,23.0,0.6956521739130435,1.0219094806224485,29.0,0.41379310344827586,1.2376742472130138,8.746842519160884,10.061619099118763,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.414087388111311, ""min_stop_pct"": 0.005109098091245117, ""max_hold"": 144, ""cooldown"": 21, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 25.445797725058153, ""rsi_long_min"": 45.68753769452251, ""rsi_long_max"": 79.85436796583097, ""volz_min"": -0.015245597058871851, ""body_min"": 0.38237137376539365, ""close_loc_min"": 0.6152311221516263, ""ret3_min"": -0.00019612455590967788, ""bb_min"": 0.27869465999858883, ""bb_max"": 0.8876694516478039, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 5, ""weights"": [0, 0, 0, 1, 2, 0, 0, 1, 0, 2, 1, 0, 1, 1, 2, 0]}"
22,211.98817498460932,False,29.0,0.6896551724137931,1.0487581307963194,34.0,0.4117647058823529,1.080259539424046,8.743143327892627,9.7720380547897,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.8006809456752348, ""min_stop_pct"": 0.004529772306165601, ""max_hold"": 288, ""cooldown"": 21, ""session_start"": 6, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 26.24059295833884, ""rsi_long_min"": 31.42730713040099, ""rsi_long_max"": 60.81679217260617, ""volz_min"": 0.39455248403872134, ""body_min"": 0.560315076478171, ""close_loc_min"": 0.585067929378076, ""ret3_min"": -0.0008524442099125766, ""bb_min"": 0.1385703825944097, ""bb_max"": 0.8711973346251043, ""pull_idx"": 1, ""don_idx"": 1, ""score_need"": 4, ""weights"": [0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2]}"
23,209.09551092607396,False,29.0,0.6551724137931034,1.2115802809912828,36.0,0.3055555555555556,1.1277749630582479,-2.1822817095775067,17.308339475408342,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.4362780525616206, ""min_stop_pct"": 0.004337128083832225, ""max_hold"": 72, ""cooldown"": 24, ""session_start"": 6, ""session_end"": 16, ""weekday_mask"": 127, ""adx_min"": 16.223982115692543, ""rsi_long_min"": 41.925925333324166, ""rsi_long_max"": 65.7498719947097, ""volz_min"": -0.8075066086074772, ""body_min"": 0.40055658430465346, ""close_loc_min"": 0.7925078015417879, ""ret3_min"": 0.0018515210023968493, ""bb_min"": 0.22231664208350965, ""bb_max"": 1.2268862355231875, ""pull_idx"": 1, ""don_idx"": 1, ""score_need"": 1, ""weights"": [0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]}"
24,207.89575479454402,False,25.0,0.64,1.2283767924943305,16.0,0.4375,1.4369067516009717,13.80507554996099,4.134887154394585,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.6755257595743962, ""min_stop_pct"": 0.0033332496016031934, ""max_hold"": 96, ""cooldown"": 21, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 22.911684227157618, ""rsi_long_min"": 51.29576377496784, ""rsi_long_max"": 81.16806489514113, ""volz_min"": -0.9702914621465395, ""body_min"": 0.2520183849509214, ""close_loc_min"": 0.8005150731200528, ""ret3_min"": 0.0010011428765568137, ""bb_min"": 0.40130379478909506, ""bb_max"": 1.0472701029127922, ""pull_idx"": 6, ""don_idx"": 0, ""score_need"": 4, ""weights"": [0, 1, 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 2, 2, 0]}"
25,180.27433346573883,False,25.0,0.6,1.3895235767173257,38.0,0.39473684210526316,1.2402479707835212,4.612967736561837,12.361103330528444,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.5380688081258223, ""min_stop_pct"": 0.004779102789346322, ""max_hold"": 72, ""cooldown"": 9, ""session_start"": 6, ""session_end"": 18, ""weekday_mask"": 31, ""adx_min"": 26.599519194349416, ""rsi_long_min"": 48.443599638047196, ""rsi_long_max"": 72.76493172921222, ""volz_min"": -0.4505635611511285, ""body_min"": 0.5213047238113472, ""close_loc_min"": 0.7104291604532796, ""ret3_min"": 0.0017348012400900878, ""bb_min"": 0.1570511084387575, ""bb_max"": 0.7519598957876229, ""pull_idx"": 2, ""don_idx"": 1, ""score_need"": 1, ""weights"": [0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 1]}"
26,174.08970434907275,False,25.0,0.68,1.0173704091855293,22.0,0.22727272727272727,1.0264174281526421,-4.579253897682492,16.156296773046083,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.1308581132679931, ""min_stop_pct"": 0.002425893395851076, ""max_hold"": 72, ""cooldown"": 23, ""session_start"": 11, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 29.468014356961078, ""rsi_long_min"": 39.10465743987332, ""rsi_long_max"": 58.28368087232007, ""volz_min"": 0.2700146574346918, ""body_min"": 0.41165577578159196, ""close_loc_min"": 0.5800705740733713, ""ret3_min"": 0.0011489361720738258, ""bb_min"": 0.20019326803285376, ""bb_max"": 0.7881338133670969, ""pull_idx"": 1, ""don_idx"": 0, ""score_need"": 2, ""weights"": [1, 0, 0, 0, 0, 2, 1, 2, 2, 1, 0, 0, 0, 0, 2, 0]}"
27,166.5803790407959,False,22.0,0.5909090909090909,1.444914446522014,20.0,0.4,1.2083816268160052,6.169605606343574,5.970937489498696,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.7911723615658919, ""min_stop_pct"": 0.0032369526322820665, ""max_hold"": 72, ""cooldown"": 30, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 23.255497699834926, ""rsi_long_min"": 34.837663808959235, ""rsi_long_max"": 66.24061956284821, ""volz_min"": -0.557484160920904, ""body_min"": 0.2137997787000121, ""close_loc_min"": 0.730586182284904, ""ret3_min"": 0.0008560093358885579, ""bb_min"": 0.0687357459269434, ""bb_max"": 0.6573841031465616, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 3, ""weights"": [2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]}"
28,164.14608678090335,False,23.0,0.6521739130434783,1.149543665881024,36.0,0.3888888888888889,1.0964003824481503,2.661839226296979,11.048972564129425,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.1431939108511813, ""min_stop_pct"": 0.004075431452162196, ""max_hold"": 144, ""cooldown"": 2, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 24.028179539446587, ""rsi_long_min"": 51.76539644104448, ""rsi_long_max"": 72.60927919389333, ""volz_min"": -0.609353516055117, ""body_min"": 0.24256526758454564, ""close_loc_min"": 0.7274231612539195, ""ret3_min"": -0.000362199804858157, ""bb_min"": 0.46426769309519944, ""bb_max"": 0.6389307344279661, ""pull_idx"": 0, ""don_idx"": 1, ""score_need"": 1, ""weights"": [0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1]}"
29,163.765521696605,False,24.0,0.7083333333333334,0.9146357125048435,24.0,0.2916666666666667,1.1733427972235324,0.5404557796132181,12.664998116152034,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.8522700584742502, ""min_stop_pct"": 0.0020733789406759285, ""max_hold"": 144, ""cooldown"": 20, ""session_start"": 11, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 14.022768701165695, ""rsi_long_min"": 49.36677071354495, ""rsi_long_max"": 61.14150372833607, ""volz_min"": -0.24184013028310025, ""body_min"": 0.2573569394999732, ""close_loc_min"": 0.5185385250062624, ""ret3_min"": -0.001772513974132912, ""bb_min"": 0.3007159999132953, ""bb_max"": 0.8142539498706509, ""pull_idx"": 8, ""don_idx"": 1, ""score_need"": 2, ""weights"": [0, 2, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 2, 0, 1, 1]}"
30,137.66171594315858,False,25.0,0.56,1.5755225035612994,30.0,0.4,1.3642609539890098,7.451461412964075,12.57334822208479,"{""direction"": 2, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.605297619033463, ""min_stop_pct"": 0.004039571138346288, ""max_hold"": 72, ""cooldown"": 29, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 28.61721834908915, ""rsi_long_min"": 32.644287290031855, ""rsi_long_max"": 66.8771371186638, ""volz_min"": -0.6400705746924954, ""body_min"": 0.30124542338512017, ""close_loc_min"": 0.7466151680899189, ""ret3_min"": -0.00023939585019896624, ""bb_min"": 0.27619352528485697, ""bb_max"": 1.2344733643914183, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 2, ""weights"": [2, 0, 1, 0, 0, 1, 1, 2, 0, 1, 2, 0, 0, 1, 1, 0]}"
