expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month,valid_blocks,positive_blocks,max_single_trade_profit_share,best_trade_removed_net_R,best_two_trades_removed_net_R,loo_month_min_net_R,loo_month_positive_share,cluster_robust,legacy_v963_tier
25,向上假突破回区间空头,假突破反转,REJECTED,False,False,False,5f2fe4ee3fec03dd,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
26,资金费率极端回归多头,衍生品反转,REJECTED,False,False,False,fcc89570f6af5d59,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
27,资金费率极端回归空头,衍生品反转,REJECTED,False,False,False,ab1a7bf6d11e9bd8,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,0.9372401560973606,0.0,0.0,-2.8117204682920818,2.8117204682920818,-0.9372401560973606,0.36363636363636365,0.0,1,0,-2.8117204682920818,0.0,3,1,0,0.0,-2.6081864154442838,-1.3040993432837082,0.0,0.0,False,REJECTED
28,合约溢价极端修复多头,基差反转,REJECTED,False,False,False,48c0a571f023845e,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,0.203638438206116,0.0,0.0,-0.203638438206116,0.203638438206116,-0.203638438206116,0.4444444444444444,0.0,1,0,-0.203638438206116,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
29,合约溢价极端修复空头,基差反转,REJECTED,False,False,False,9cc0c5de692aa62f,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
30,欧美开盘区间突破多头,开盘突破,REJECTED,False,False,False,f9b0b97528e653e7,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,6,2,0.3333333333333333,1.4955536215401288,1.303233364445384,1.1475716186690712,0.5737858093345356,-2.2218262147012777,3.9098741446512353,-0.37030436911687964,0.42857142857142855,0.09676933255921684,2,1,-3.9098741446512353,1.0,3,1,1,0.5000036234341482,-3.717390674321532,-5.212933457781536,-3.9098741446512353,0.5,False,REJECTED
31,欧美开盘区间突破空头,开盘突破,REJECTED,False,False,False,8f89911d444a7852,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
32,BTC强于ETH且溢价回落空头,跨资产衍生品,REJECTED,False,False,False,ad7bf81694ad15d4,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
33,BTC强于ETH且主动卖盘空头,跨资产订单流,REJECTED,False,False,False,16e8ea0e0b751d8b,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,活跃月份不足,3,1,0.3333333333333333,1.7144577334199718,0.6820153980073186,2.513810888184044,1.256905444092022,0.3504269374053345,1.3640307960146374,0.1168089791351115,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1.0,-1.3640307960146372,-1.2870389854294844,0.0,0.0,True,REJECTED
34,BTC强于ETH欧美盘修复空头,跨资产时段,REJECTED,False,False,False,d9d64c6080c7757b,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,1.2815182689432856,0.0,0.0,-3.8445548068298567,3.8445548068298567,-1.2815182689432856,0.36363636363636365,0.0,1,0,-3.8445548068298567,0.0,3,1,0,0.0,-2.5737489669362423,-1.2868746698079492,0.0,0.0,False,REJECTED
35,ETH先跌BTC滞后补跌空头,跨资产领先滞后,REJECTED,False,False,False,1988519d498cd703,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,2,0,0.0,0.0,1.284461255634109,0.0,0.0,-2.568922511268218,2.568922511268218,-1.284461255634109,0.4,0.0,1,0,-2.568922511268218,0.0,2,0,0,0.0,-1.2870814550267895,0.0,0.0,0.0,False,REJECTED
36,BTC弱于ETH且溢价回升多头,跨资产衍生品,REJECTED,False,False,False,d9882e2d61ed9961,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
37,ETH先涨BTC滞后补涨多头,跨资产领先滞后,REJECTED,False,False,False,6387acc3c2ec918d,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足,1,1,1.0,1.7125413489195278,0.0,999.0,999.0,1.7125413489195278,0.0,1.7125413489195278,0.5555555555555556,0.20654329147389294,1,1,0.0,1.0,1,0,0,1.0,0.0,0.0,0.0,0.0,False,REJECTED
38,跨资产背离后VWAP失守空头,跨资产VWAP,REJECTED,False,False,False,47d7edd201629376,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
39,跨资产背离后VWAP收回多头,跨资产VWAP,REJECTED,False,False,False,1d3bb2983569000d,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED
