rank,aggregate_score,rr,sl_atr,min_stop_pct,max_hold,breakeven_trigger,breakeven_lock,early_bars,early_cut_r,candidate_target,cooldown,direction,edge_margin,regime_mask,setup_mask,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R
11,-7315.835122553337,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,0,只做多,0.0,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.8423580760319547,1.8525087954418868,1.6466744848372326,4.902583273798021,3.4058351121922854,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,28,6,0.21428571428571427,1.5608672704569926,0.9384242323395783,1.6632853422439937,0.4536232751574528,-11.280129488728775,17.846719233980227,19,9,0.47368421052631576,1.5603486634566304,0.5937235813696725,2.6280725785845185,2.3652653207260665,8.105902157412947,1.9906972099290234,27,5,0.18518518518518517,1.2592783516118105,0.804025479674758,1.5662169712845542,0.3559584025646714,-11.392168794785627,16.501530631698433
12,-7315.835122553337,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,0,只做多,0.03,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.8423580760319547,1.8525087954418868,1.6466744848372326,4.902583273798021,3.4058351121922854,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,28,6,0.21428571428571427,1.5608672704569926,0.9384242323395783,1.6632853422439937,0.4536232751574528,-11.280129488728775,17.846719233980227,19,9,0.47368421052631576,1.5603486634566304,0.5937235813696725,2.6280725785845185,2.3652653207260665,8.105902157412947,1.9906972099290234,27,5,0.18518518518518517,1.2592783516118105,0.804025479674758,1.5662169712845542,0.3559584025646714,-11.392168794785627,16.501530631698433
13,-7315.835122553337,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,0,只做多,0.06,9,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,17,8,0.47058823529411764,1.5604757447607016,0.8423580760319547,1.8525087954418868,1.6466744848372326,4.902583273798021,3.4058351121922854,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,28,6,0.21428571428571427,1.5608672704569926,0.9384242323395783,1.6632853422439937,0.4536232751574528,-11.280129488728775,17.846719233980227,19,9,0.47368421052631576,1.5603486634566304,0.5937235813696725,2.6280725785845185,2.3652653207260665,8.105902157412947,1.9906972099290234,27,5,0.18518518518518517,1.2592783516118105,0.804025479674758,1.5662169712845542,0.3559584025646714,-11.392168794785627,16.501530631698433
14,-7509.702189348632,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.0,8,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.9239865246090266,1.6888511933883423,1.930115649586677,6.0159002858224255,2.614895054701917,14,1,0.07142857142857142,1.560296246290675,0.8999894644474389,1.733682790663156,0.13336021466639664,-10.139566791526029,10.322697507553727,26,4,0.15384615384615385,1.560301074247518,0.8884494274931669,1.7562069668388844,0.3193103576070699,-13.304683107859603,17.985556290103588,15,8,0.5333333333333333,1.5603355562476753,0.8150795710161134,1.9143352523269521,2.187811716945088,6.777127452868607,2.62928337528819,21,3,0.14285714285714285,1.3902344939369378,0.7778137477178115,1.7873616891139221,0.29789361485232035,-9.829943977109796,13.213533132456527
15,-7509.702189348632,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.03,8,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.9239865246090266,1.6888511933883423,1.930115649586677,6.0159002858224255,2.614895054701917,14,1,0.07142857142857142,1.560296246290675,0.8999894644474389,1.733682790663156,0.13336021466639664,-10.139566791526029,10.322697507553727,26,4,0.15384615384615385,1.560301074247518,0.8884494274931669,1.7562069668388844,0.3193103576070699,-13.304683107859603,17.985556290103588,15,8,0.5333333333333333,1.5603355562476753,0.8150795710161134,1.9143352523269521,2.187811716945088,6.777127452868607,2.62928337528819,21,3,0.14285714285714285,1.3902344939369378,0.7778137477178115,1.7873616891139221,0.29789361485232035,-9.829943977109796,13.213533132456527
16,-7509.702189348632,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,8,只做多,0.06,8,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.9239865246090266,1.6888511933883423,1.930115649586677,6.0159002858224255,2.614895054701917,14,1,0.07142857142857142,1.560296246290675,0.8999894644474389,1.733682790663156,0.13336021466639664,-10.139566791526029,10.322697507553727,26,4,0.15384615384615385,1.560301074247518,0.8884494274931669,1.7562069668388844,0.3193103576070699,-13.304683107859603,17.985556290103588,15,8,0.5333333333333333,1.5603355562476753,0.8150795710161134,1.9143352523269521,2.187811716945088,6.777127452868607,2.62928337528819,21,3,0.14285714285714285,1.3902344939369378,0.7778137477178115,1.7873616891139221,0.29789361485232035,-9.829943977109796,13.213533132456527
17,-7511.910289973844,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.0,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.8386994901163066,1.8605898336057205,2.1263883812636806,6.612909527271465,2.614895428797332,18,2,0.1111111111111111,1.5603075345183952,0.9634205522443875,1.6195497707449753,0.2024437213431219,-12.294113766873412,12.477244482901106,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,18,8,0.4444444444444444,1.5603358087632548,0.8320848224860802,1.8752124381999018,1.5001699505599213,4.161838245245237,2.7680387920164,24,4,0.16666666666666666,1.0771425008022462,0.8155815984321769,1.3207047619427383,0.2641409523885476,-12.003061965434554,15.68989474321791
18,-7511.910289973844,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.03,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.8386994901163066,1.8605898336057205,2.1263883812636806,6.612909527271465,2.614895428797332,18,2,0.1111111111111111,1.5603075345183952,0.9634205522443875,1.6195497707449753,0.2024437213431219,-12.294113766873412,12.477244482901106,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,18,8,0.4444444444444444,1.5603358087632548,0.8320848224860802,1.8752124381999018,1.5001699505599213,4.161838245245237,2.7680387920164,24,4,0.16666666666666666,1.0771425008022462,0.8155815984321769,1.3207047619427383,0.2641409523885476,-12.003061965434554,15.68989474321791
19,-7511.910289973844,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.06,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.8386994901163066,1.8605898336057205,2.1263883812636806,6.612909527271465,2.614895428797332,18,2,0.1111111111111111,1.5603075345183952,0.9634205522443875,1.6195497707449753,0.2024437213431219,-12.294113766873412,12.477244482901106,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,18,8,0.4444444444444444,1.5603358087632548,0.8320848224860802,1.8752124381999018,1.5001699505599213,4.161838245245237,2.7680387920164,24,4,0.16666666666666666,1.0771425008022462,0.8155815984321769,1.3207047619427383,0.2641409523885476,-12.003061965434554,15.68989474321791
20,-7524.976298681064,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,0,只做多,0.0,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.6816352999887245,2.2893118134969166,2.6163563582821903,7.7123588581645395,2.614895428797332,18,2,0.1111111111111111,1.5603075345183952,0.9634205522443875,1.6195497707449753,0.2024437213431219,-12.294113766873412,12.477244482901106,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,19,9,0.47368421052631576,1.5603413717462917,0.8320848224860802,1.8752191237959932,1.6876972114163937,5.722224120855824,2.4764696843318736,24,4,0.16666666666666666,1.0771425008022462,0.8155815984321769,1.3207047619427383,0.2641409523885476,-12.003061965434554,15.68989474321791
21,-7524.976298681064,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,0,只做多,0.03,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.6816352999887245,2.2893118134969166,2.6163563582821903,7.7123588581645395,2.614895428797332,18,2,0.1111111111111111,1.5603075345183952,0.9634205522443875,1.6195497707449753,0.2024437213431219,-12.294113766873412,12.477244482901106,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,19,9,0.47368421052631576,1.5603413717462917,0.8320848224860802,1.8752191237959932,1.6876972114163937,5.722224120855824,2.4764696843318736,24,4,0.16666666666666666,1.0771425008022462,0.8155815984321769,1.3207047619427383,0.2641409523885476,-12.003061965434554,15.68989474321791
22,-7524.976298681064,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,0,只做多,0.06,8,12,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.6816352999887245,2.2893118134969166,2.6163563582821903,7.7123588581645395,2.614895428797332,18,2,0.1111111111111111,1.5603075345183952,0.9634205522443875,1.6195497707449753,0.2024437213431219,-12.294113766873412,12.477244482901106,26,4,0.15384615384615385,1.560301074247518,0.8884508274415966,1.7562041995510285,0.3193098544638234,-13.304713906725059,17.985587088969044,19,9,0.47368421052631576,1.5603413717462917,0.8320848224860802,1.8752191237959932,1.6876972114163937,5.722224120855824,2.4764696843318736,24,4,0.16666666666666666,1.0771425008022462,0.8155815984321769,1.3207047619427383,0.2641409523885476,-12.003061965434554,15.68989474321791
23,-7574.9974119940725,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.0,8,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.9239865246090266,1.6888511933883423,1.930115649586677,6.0159002858224255,2.614895054701917,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,26,4,0.15384615384615385,1.560301074247518,0.8884494274931669,1.7562069668388844,0.3193103576070699,-13.304683107859603,17.985556290103588,15,8,0.5333333333333333,1.5603355562476753,0.8150795710161134,1.9143352523269521,2.187811716945088,6.777127452868607,2.62928337528819,21,3,0.14285714285714285,1.3902344939369378,0.7686261309934531,1.8087265549247626,0.3014544258207938,-9.664566876071344,13.213533132456527
24,-7574.9974119940725,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.03,8,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.9239865246090266,1.6888511933883423,1.930115649586677,6.0159002858224255,2.614895054701917,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,26,4,0.15384615384615385,1.560301074247518,0.8884494274931669,1.7562069668388844,0.3193103576070699,-13.304683107859603,17.985556290103588,15,8,0.5333333333333333,1.5603355562476753,0.8150795710161134,1.9143352523269521,2.187811716945088,6.777127452868607,2.62928337528819,21,3,0.14285714285714285,1.3902344939369378,0.7686261309934531,1.8087265549247626,0.3014544258207938,-9.664566876071344,13.213533132456527
25,-7574.9974119940725,1.8,1.1,0.0042,144,0.95,0.1,48,0.4,52,3,只做多,0.06,8,4,13,7,0.5384615384615384,1.3571689408688115,1.0548912252526463,1.2865487060467014,1.500973490387818,3.1708352345658026,3.7143899506418183,15,8,0.5333333333333333,1.5604757447607016,0.9239865246090266,1.6888511933883423,1.930115649586677,6.0159002858224255,2.614895054701917,15,1,0.06666666666666667,1.560296246290675,0.9241534149813943,1.688351978142166,0.12059656986729758,-11.377851563448843,11.56098227947654,26,4,0.15384615384615385,1.560301074247518,0.8884494274931669,1.7562069668388844,0.3193103576070699,-13.304683107859603,17.985556290103588,15,8,0.5333333333333333,1.5603355562476753,0.8150795710161134,1.9143352523269521,2.187811716945088,6.777127452868607,2.62928337528819,21,3,0.14285714285714285,1.3902344939369378,0.7686261309934531,1.8087265549247626,0.3014544258207938,-9.664566876071344,13.213533132456527
