signal_i,exit_i,direction,expert_id,expert,family,setup_group,base_probability,probability,online_percentile,router,micro,meta_probability,meta_decision,expected_utility,utility,net_r,win,reason,day,cycle,policy_key,month,tier
97788,97829,1,10,欧美时段顺势延续多头,时段延续,时段延续,0.21726202967544542,0.4839319541029999,0.8900523560209425,0.47813813047448506,0.695597977903629,0.3780999802266314,NEUTRAL,0.2779433250311133,0.18943774085385098,-0.1865944308092246,False,2,2026-02-13,1066,792c97e8b4c0b8eb,2026-02,REJECTED
97904,97935,1,10,欧美时段顺势延续多头,时段延续,时段延续,0.1811787270912587,0.5396756500591291,0.9540816326530612,0.5487575349187499,0.7780247832237353,0.41392777493025296,NEUTRAL,0.4124689812781749,0.3239633971009126,1.7124662965841884,True,1,2026-02-14,1068,792c97e8b4c0b8eb,2026-02,REJECTED
71184,71186,-1,11,欧美时段顺势延续空头,时段延续,时段延续,0.5033629337079455,0.373584586628582,0.9156626506024096,0.4770522682367452,0.7518250106086408,0.352435090898879,NEUTRAL,0.14567519858667605,0.06012956349764072,-0.1862164800236871,False,2,2025-11-04,761,4337d47dd551514a,2025-11,REJECTED
71932,71945,-1,11,欧美时段顺势延续空头,时段延续,时段延续,0.47304390817597497,0.3704571365667025,0.8855218855218855,0.4648018634441432,0.6961905690283763,0.3558224352681976,NEUTRAL,0.14193010388655458,0.05638446879751925,1.7147203332269656,True,1,2025-11-07,779,4337d47dd551514a,2025-11,REJECTED
120347,120416,1,12,区间扫低立即收回多头,流动性反转,扫低立即收回,0.14726271708484948,0.4447891916482359,0.9803921568627451,0.7946564698099972,0.6954160667008324,0.36488390046860825,NEUTRAL,0.26533874691908543,0.12653355793555568,1.6952141234818747,True,1,2026-05-09,727,85bcae0edbb1c312,2026-05,REJECTED
97647,97649,-1,13,区间扫高立即跌回空头,流动性反转,扫高立即跌回,0.10718494489738085,0.465110454608352,1.0,0.7590935186131926,0.6536277859443411,0.3102694506158268,NEUTRAL,0.16329523957658726,0.042979651642934324,-1.3044368488991718,False,2,2026-02-13,613,9725d216812a9017,2026-02,REJECTED
103123,103147,-1,13,区间扫高立即跌回空头,流动性反转,扫高立即跌回,0.21952925942356416,0.3918080853134423,0.8405797101449275,0.7978064146337991,0.6990020552534006,0.39129850022862356,NEUTRAL,0.1432696648723496,0.022896680994529017,1.6971219202291914,True,1,2026-03-05,653,9725d216812a9017,2026-03,REJECTED
121035,121048,1,14,扫低后确认K多头,流动性确认,扫低确认,0.19010374160972338,0.5106958072878467,1.0,0.8499233194172281,0.576739993182882,0.4872737146835935,NEUTRAL,0.42917423274394656,0.3234045785671156,-1.3032730625724,False,2,2026-05-11,1456,3bd6a29bd8ffd119,2026-05,REJECTED
121301,121320,1,14,扫低后确认K多头,流动性确认,扫低确认,0.2444751256375209,0.49984480648441443,0.8961038961038961,0.8426175912254802,0.6899075627972184,0.4825854153352846,NEUTRAL,0.4063820886165896,0.3006124344397586,1.6952172522010793,True,1,2026-05-12,1467,3bd6a29bd8ffd119,2026-05,REJECTED
30349,30368,1,16,区间二次测试不破多头,二次测试,二次测试,0.5780238870067376,0.6387768692001667,0.896551724137931,0.8440293336412987,0.5476396396062926,0.45760731312966535,NEUTRAL,0.6517021975197821,0.5000903770062485,-0.20370571031857831,False,2,2025-05-07,91,5911315f52956132,2025-05,REJECTED
30619,30634,1,16,区间二次测试不破多头,二次测试,二次测试,0.602798997997014,0.6529811920152552,0.9,0.8259274015050897,0.5808267239566267,0.45878133875999183,NEUTRAL,0.6804735136126535,0.5288616930991199,-1.3031404327934821,False,2,2025-05-08,92,5911315f52956132,2025-05,REJECTED
31933,31945,1,16,区间二次测试不破多头,二次测试,二次测试,0.8241115072506208,0.7787099356607157,1.0,0.8338925123923817,0.6598147132225327,0.4769308884911581,NEUTRAL,0.9402385636814506,0.788626743167917,1.6953878014577437,True,1,2025-05-13,95,5911315f52956132,2025-05,REJECTED
81058,81084,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.15798379423163658,0.4283965626961125,0.8113207547169812,0.5391596279699132,0.6219557484654006,0.3596012992306042,NEUTRAL,0.3494256299575372,0.2152617336019586,1.890496985958381,True,1,2025-12-11,280,9a19b379445c8be4,2025-12,CANDIDATE
94026,94032,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.11015108961194912,0.5012431359502408,1.0,0.8295641425201912,0.6367347187065682,0.32051698077526813,NEUTRAL,0.3870429626214231,0.22543633145663922,-0.08164347753032455,False,2,2026-01-30,304,9a19b379445c8be4,2026-01,CANDIDATE
112113,112118,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.44109509080304804,0.40490301077025725,0.8571428571428571,0.5247359190577253,0.8019318191574336,0.3518636909468548,NEUTRAL,0.3812806734483217,0.2207156356421665,1.8527370445175673,True,1,2026-04-08,347,9a19b379445c8be4,2026-04,CANDIDATE
113727,113733,-1,21,BTC强于ETH背离修复空头,跨资产背离,BTCETH背离,0.413674626398174,0.3926636159720233,0.84375,0.5191697223300527,0.7498393752757464,0.35106979667833904,NEUTRAL,0.3582124325276514,0.19764739472149617,1.8619666030568092,True,1,2026-04-14,351,9a19b379445c8be4,2026-04,CANDIDATE
44742,44783,-1,27,资金费率极端回归空头,衍生品反转,资金费率极端,0.16106794828862778,0.4330109095096924,0.9741784037558685,0.47409366566308975,0.7073378267276154,0.32742521576449846,NEUTRAL,0.1901520175806498,0.12050639895450233,-1.3040993432837082,False,2,2025-07-01,1095,b02aa80e33f81c12,2025-07,REJECTED
