expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,sample_uncertainty_penalty,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-05,329,True,2025-04,330.0,0.19339420119452258,0.19381862922230564,1.4754425886014966,0.9014290144946064,0.03027650354097492,0.26367327880105085,-0.3489365622621147,0.26314628749906205,-0.3489068489947704,52.0,0.0,0.0,52.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-06,318,True,2025-05,329.0,0.15279042714413854,0.1524713027175944,1.4651217963151577,0.899129022385301,0.030322481553098423,0.18847346984511604,-0.5229087197509552,0.1878911634455268,-0.5244136196973929,51.0,0.0,0.0,51.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-07,137,True,2025-06,318.0,0.18185742053924916,0.1817875932664524,1.4508121557920208,0.9391629315046442,0.03084246847506244,0.2390187637178663,-0.44141667451478256,0.2402783782829133,-0.4387507045900222,48.0,0.0,0.0,48.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-08,302,True,2025-07,137.0,0.15249612077683936,0.15328755272769867,1.4127322174788879,0.9236878822064448,0.046989671174421856,0.18973055811932113,-0.5664084013531112,0.19401887054749953,-0.5578868825861083,75.0,0.0,0.0,75.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-09,337,True,2025-08,302.0,0.17898303484561665,0.17914879489019944,1.4529506058103554,0.8614394072754852,0.03164894357066398,0.23511025891141832,-0.391283669709644,0.23224254711197231,-0.3956101316457729,60.0,0.0,0.0,60.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-10,269,True,2025-09,337.0,0.18253002410030472,0.18358873821998262,1.3844246024752458,0.8623737875591408,0.029960409088656385,0.2433707263137034,-0.38823895438545153,0.25676720629094774,-0.36397695124031265,76.0,0.0,0.0,76.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-11,298,True,2025-10,269.0,0.2006364671558137,0.2021747083710883,1.4705700163849291,0.9487708094247487,0.03353409184673308,0.2825388190078416,-0.3435619309108541,0.2904802436699962,-0.32932674986140414,64.0,0.0,0.0,64.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2025-12,298,True,2025-11,298.0,0.18453284831220954,0.18446627727339265,1.4815680435523537,0.8400705289064896,0.03186064454999208,0.2448973094555755,-0.3463026077225843,0.2437561891616645,-0.3483580431687411,59.0,0.0,0.0,59.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2026-01,311,True,2025-12,298.0,0.16429173769452793,0.16471353115242363,1.4719080187874873,0.8178950690832706,0.03186064454999208,0.2080473244298835,-0.41392195226263556,0.2050313260740664,-0.41922937018252626,60.0,0.0,0.0,60.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2026-02,276,True,2026-01,311.0,0.17083517296512893,0.17035590851336524,1.4193071628492324,0.8707670925743375,0.031187638741805853,0.2186126774159671,-0.4426832166387116,0.21802543288151768,-0.4448880705543058,37.0,0.0,0.0,37.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2026-03,343,True,2026-02,276.0,0.17190854032113595,0.1710534501200015,1.4975344800749084,0.8983491740096119,0.033106109598586536,0.221009206095872,-0.4434528928870679,0.2201915613887016,-0.44497494563855383,60.0,0.0,0.0,60.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2026-04,327,True,2026-03,343.0,0.19117590381884464,0.19207412736953539,1.4733274311960898,0.9223288986554385,0.029697208593582138,0.2594616436042226,-0.37416346865945604,0.25747745771781194,-0.37777498357283545,56.0,0.0,0.0,56.0,0.0,0.0,0.0
向下假突破回区间多头,假突破反转,542ba276eec5abee,REJECTED,2026-05,341,True,2026-04,327.0,0.20081995794716326,0.19834728984053587,1.4543792892428768,0.8289783143526147,0.03041506949851321,0.2783000132592719,-0.2687663548227473,0.27788005827409407,-0.26609953188770613,98.0,0.0,0.0,98.0,0.0,0.0,0.0
