month,expert,bars,market_state,structure,five_minute_setup,raw_structural_candidates,aux_support_observed,model_available,training_candidates,calibration_month,calibration_candidates,calibration_base_rate,calibration_brier,probability_threshold,online_rank_percentile,minimum_effective_rank_percentile,mean_effective_rank_percentile,pace_relaxed_passes,score_drift,after_probability,after_monthly_cap,after_cooldown,selected_policy
2026-03,趋势空头,8277,1181,1095,2223,287,287,True,2052,2026-02,412,0.308252427184466,0.21247987418424602,0.42,0.65,0.55,0.5561118710883635,0,0.005125518471243262,0,0,0,True
2026-03,震荡多头反转,8277,2533,2198,289,84,84,True,239,2026-02,70,0.11428571428571428,0.10119776650519602,0.34,0.75,0.61,0.6419841477984674,0,-0.001381708754755337,0,0,0,True
2026-03,震荡空头反转,8277,2533,1930,263,59,58,True,252,2026-02,61,0.3442622950819672,0.22431807452191538,0.34,0.65,0.65,0.6499999999999999,0,0.01130730805429897,27,8,8,True
2026-03,高波动多头突破,8277,1633,1333,261,65,62,True,273,2026-02,36,0.2777777777777778,0.19121594647053977,0.35,0.68,0.6556581085472863,0.6788107810990919,2,0.017080983975626185,6,6,5,True
2026-03,高波动空头突破,8277,1717,1447,310,75,74,True,288,2026-02,92,0.29347826086956524,0.18758263469770034,0.45,0.68,0.56541636909013,0.6102224744106834,2,-0.0304576934306372,2,2,2,True
2026-04,趋势多头,8010,1948,1779,2244,489,485,True,1865,2026-03,411,0.19464720194647203,0.15634711102207483,0.34,0.65,0.55,0.5659112720131972,0,0.007978276633549441,0,0,0,True
2026-04,趋势空头,8010,978,929,2157,238,238,True,2464,2026-03,287,0.3170731707317073,0.21479063970198714,0.42,0.65,0.55,0.6486068255015658,5,0.046448793200190186,55,18,3,True
2026-04,震荡多头反转,8010,2128,1764,262,45,44,True,309,2026-03,84,0.19047619047619047,0.1541950185129277,0.34,0.75,0.61,0.660701696276222,0,-8.548628382953893e-07,0,0,0,True
2026-04,震荡空头反转,8010,2128,1764,244,60,60,True,313,2026-03,59,0.2542372881355932,0.18765380935595652,0.34,0.65,0.55,0.5770796446853356,0,0.00481447097105514,0,0,0,True
2026-04,高波动多头突破,8010,1973,1615,291,91,91,True,309,2026-03,65,0.16923076923076924,0.1386114896767465,0.35,0.68,0.55,0.5851533324399176,0,-0.0006467992623077068,0,0,0,True
2026-04,高波动空头突破,8010,1221,896,269,49,48,True,380,2026-03,75,0.14666666666666667,0.12452409245101852,0.45,0.68,0.55,0.5712072064598197,0,0.006013875738730329,0,0,0,True
2026-05,趋势多头,8188,1414,1388,2198,341,341,True,2276,2026-04,489,0.22085889570552147,0.16937003532983863,0.34,0.65,0.65,0.6500000000000001,0,0.01317271009060303,20,10,3,True
2026-05,趋势空头,8188,1492,1393,2260,369,368,True,2751,2026-04,238,0.2605042016806723,0.17656962463502748,0.42,0.65,0.55,0.5499999999999999,1,-0.09517221010919774,1,1,1,True
2026-05,震荡多头反转,8188,2484,1947,261,78,75,True,393,2026-04,45,0.4222222222222222,0.2431357240609223,0.34,0.75,0.7422038639741236,0.7499000495381298,1,0.008614108555196787,30,8,5,True
2026-05,震荡空头反转,8188,2484,2048,300,103,103,True,372,2026-04,60,0.2,0.1558890484753003,0.34,0.65,0.55,0.5636498709490694,0,0.006412824630108976,0,0,0,True
2026-05,高波动多头突破,8188,1610,1288,268,39,37,True,374,2026-04,91,0.21978021978021978,0.15551772663164518,0.35,0.68,0.5642337025603777,0.6454113898434943,0,-0.04235446360670045,1,1,1,True
2026-05,高波动空头突破,8188,1583,1316,306,66,66,True,455,2026-04,49,0.14285714285714285,0.12167441784260113,0.45,0.68,0.55,0.5663321452129477,0,-0.000517006132900566,0,0,0,True
2026-06,趋势多头,7397,1192,1122,1931,267,267,True,2765,2026-05,341,0.44281524926686217,0.24522742901497427,0.34,0.65,0.5506436314363143,0.6484916804536336,1,0.009816836866523793,112,10,5,True
2026-06,趋势空头,7397,1690,1600,2053,475,475,True,2989,2026-05,369,0.2981029810298103,0.2075041100816619,0.42,0.65,0.55,0.5960411210954214,0,0.0035878665999926618,0,0,0,True
2026-06,震荡多头反转,7397,1898,1498,274,63,62,True,438,2026-05,78,0.23076923076923078,0.17751428345268985,0.34,0.75,0.61,0.6303016159791226,0,-0.00022818616964528915,0,0,0,True
2026-06,震荡空头反转,7397,1898,1588,197,50,49,True,432,2026-05,103,0.2912621359223301,0.20636922610476577,0.34,0.65,0.55,0.5537754290876242,0,0.001274717803551928,0,0,0,True
2026-06,高波动多头突破,7397,1182,865,238,43,41,True,465,2026-05,39,0.20512820512820512,0.1588495559968632,0.35,0.68,0.55,0.567639991806895,0,0.0030329399377826416,0,0,0,True
2026-06,高波动空头突破,7397,1840,1656,301,85,83,True,504,2026-05,66,0.18181818181818182,0.14601731992388892,0.45,0.68,0.55,0.6055607364897176,0,-0.010525521445994196,0,0,0,True
