expert_id,expert,policy_key,frozen_tier,window_start_utc,window_end_utc,historical_diagnostic_only,automatic_activation,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
10,欧美时段顺势延续多头,792c97e8b4c0b8eb,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,6,1,0.16666666666666666,1.7123886521641818,1.0658828995121603,1.6065448211505393,0.32130896423010785,-3.6170258453966193,3.856623899154596,-0.6028376408994366
11,欧美时段顺势延续空头,1de21fc96eaf5c68,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,1,0,0.0,0.0,1.2869456596998758,0.0,0.0,-1.2869456596998758,1.2869456596998758,-1.2869456596998758
12,区间扫低立即收回多头,52f3fa47b619e482,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,9,1,0.1111111111111111,1.6952141234818747,0.8910096580213496,1.9025765974820168,0.2378220746852521,-5.432863140688922,6.720400710062005,-0.6036514600765469
13,区间扫高立即跌回空头,77df21d40787c7a0,CANDIDATE,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,扫低后确认K多头,2a8da9b9f57c9899,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,7,2,0.2857142857142857,1.695180875533287,0.6436397978565482,2.6337415448494403,1.0534966179397762,0.17216276178383239,1.9149259267103411,0.024594680254833197
15,扫高后确认K空头,2605712f51fd787a,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,区间二次测试不破多头,5911315f52956132,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,区间二次测试不破空头,add1fc0880238799,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,1,0,0.0,0.0,1.3043699315826711,0.0,0.0,-1.3043699315826711,1.3043699315826711,-1.3043699315826711
18,扫低后站回VWAP多头,8faa2dfdd58009bb,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,扫高后跌破VWAP空头,98c02f47708ca242,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,BTC弱于ETH背离修复多头,afac444025613291,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,BTC强于ETH背离修复空头,fca571982b7c88a0,CANDIDATE,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,5,2,0.4,1.8573518237871882,0.8680187327648857,2.1397600693143985,1.4265067128762656,1.1106474492797194,2.604056198294657,0.22212948985594388
22,压缩后首次放量突破多头,637dd7099e42148f,CANDIDATE,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,2,0,0.0,0.0,0.44920212209884924,0.0,0.0,-0.8984042441976985,0.8984042441976985,-0.44920212209884924
23,压缩后首次放量突破空头,59bcc3e64f2c7f94,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,向下假突破回区间多头,d5f361a753574b48,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,向上假突破回区间空头,5f2fe4ee3fec03dd,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,资金费率极端回归多头,fcc89570f6af5d59,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,资金费率极端回归空头,ab1a7bf6d11e9bd8,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,合约溢价极端修复多头,48c0a571f023845e,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,合约溢价极端修复空头,9cc0c5de692aa62f,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,欧美开盘区间突破多头,f9b0b97528e653e7,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,5,0,0.0,0.0,1.087401176006907,0.0,0.0,-5.437005880034535,5.437005880034535,-1.087401176006907
31,欧美开盘区间突破空头,8f89911d444a7852,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,BTC强于ETH且溢价回落空头,ad7bf81694ad15d4,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,BTC强于ETH且主动卖盘空头,16e8ea0e0b751d8b,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,9,2,0.2222222222222222,1.7824092047530893,0.7997482837111504,2.228712760072458,0.6367750743064167,-2.033419576471873,3.747877309891845,-0.2259355084968748
34,BTC强于ETH欧美盘修复空头,d9d64c6080c7757b,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ETH先跌BTC滞后补跌空头,1988519d498cd703,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,BTC弱于ETH且溢价回升多头,d9882e2d61ed9961,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ETH先涨BTC滞后补涨多头,6387acc3c2ec918d,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,1,1,1.0,1.7125413489195278,0.0,999.0,999.0,1.7125413489195278,0.0,1.7125413489195278
38,跨资产背离后VWAP失守空头,47d7edd201629376,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,跨资产背离后VWAP收回多头,1d3bb2983569000d,REJECTED,2026-04-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,True,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
