rank,score,qualified,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,net_R,max_drawdown_R,config
21,559.995138045729,False,2.0,1.0,0.0,1.0,1.0,0.0,2.4951380457290573,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 2.8698614438481256, ""min_stop_pct"": 0.0063264264164563915, ""max_hold"": 36, ""cooldown"": 23, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 15.80912959473763, ""rsi_long_min"": 42.86869955605604, ""rsi_long_max"": 59.25486673518281, ""volz_min"": 0.354449113867233, ""body_min"": 0.2833705016789021, ""close_loc_min"": 0.5786544059144276, ""ret3_min"": -0.0004307809947061822, ""bb_min"": 0.4312217416732208, ""bb_max"": 0.8027237675426622, ""pull_idx"": 0, ""don_idx"": 0, ""score_need"": 15, ""weights"": [0, 3, 1, 3, 0, 2, 0, 1, 0, 3, 3, 0, 0, 0, 3, 3]}"
22,559.8128014124167,False,1.0,1.0,0.0,2.0,1.0,0.0,2.3128014124166545,0.0,"{""direction"": 0, ""trigger"": 2, ""rr"": 1.75, ""sl_atr"": 2.5691505080651753, ""min_stop_pct"": 0.008446183325869418, ""max_hold"": 24, ""cooldown"": 43, ""session_start"": 6, ""session_end"": 11, ""weekday_mask"": 60, ""adx_min"": 33.982051981873, ""rsi_long_min"": 41.15659532965016, ""rsi_long_max"": 61.93002685214692, ""volz_min"": 1.6615070461033954, ""body_min"": 0.43542902859401345, ""close_loc_min"": 0.670795001455888, ""ret3_min"": 0.003242084881092566, ""bb_min"": 0.19571590668411948, ""bb_max"": 1.137161016699821, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 21, ""weights"": [0, 3, 3, 1, 3, 2, 3, 3, 3, 1, 0, 3, 0, 0, 0, 2]}"
23,559.4431981058698,False,1.0,1.0,0.0,2.0,1.0,0.0,1.9431981058698393,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 2.4775184548529063, ""min_stop_pct"": 0.004548810706542986, ""max_hold"": 96, ""cooldown"": 45, ""session_start"": 17, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 18.478035535273253, ""rsi_long_min"": 38.56509568973968, ""rsi_long_max"": 70.94729035866396, ""volz_min"": 1.5637270068967315, ""body_min"": 0.22645592619068491, ""close_loc_min"": 0.5973438694318914, ""ret3_min"": 0.0026664699000219587, ""bb_min"": 0.3249209850140121, ""bb_max"": 0.6085762144533275, ""pull_idx"": 4, ""don_idx"": 0, ""score_need"": 4, ""weights"": [3, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 3, 0, 2]}"
24,559.321203263145,False,2.0,1.0,0.0,1.0,1.0,0.0,1.8212032631449382,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.4313828440424894, ""min_stop_pct"": 0.006222962053962437, ""max_hold"": 36, ""cooldown"": 51, ""session_start"": 14, ""session_end"": 24, ""weekday_mask"": 60, ""adx_min"": 25.94872703056965, ""rsi_long_min"": 35.236255176506916, ""rsi_long_max"": 59.02052761102877, ""volz_min"": 1.6329382256040914, ""body_min"": 0.6599431108037489, ""close_loc_min"": 0.5854601698901364, ""ret3_min"": 0.002709476728495892, ""bb_min"": 0.24856417835810335, ""bb_max"": 0.9565443486803451, ""pull_idx"": 0, ""don_idx"": 1, ""score_need"": 6, ""weights"": [0, 0, 2, 1, 0, 3, 1, 0, 1, 1, 0, 1, 1, 2, 1, 1]}"
25,559.2971712501744,False,2.0,1.0,0.0,1.0,1.0,0.0,1.7971712501744204,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.1309839580671337, ""min_stop_pct"": 0.007763529697146231, ""max_hold"": 18, ""cooldown"": 36, ""session_start"": 19, ""session_end"": 24, ""weekday_mask"": 124, ""adx_min"": 22.458980304972286, ""rsi_long_min"": 50.702846975451266, ""rsi_long_max"": 70.70583139304874, ""volz_min"": 0.11474470817545757, ""body_min"": 0.4140910662278755, ""close_loc_min"": 0.5669209587563985, ""ret3_min"": 0.001758651623105106, ""bb_min"": 0.2978963502781348, ""bb_max"": 0.7585226099754878, ""pull_idx"": 2, ""don_idx"": 0, ""score_need"": 8, ""weights"": [2, 0, 0, 2, 0, 1, 1, 0, 0, 3, 2, 0, 1, 0, 3, 1]}"
26,559.2727962834379,False,2.0,1.0,0.0,1.0,1.0,0.0,1.7727962834378044,0.0,"{""direction"": 2, ""trigger"": 3, ""rr"": 2.25, ""sl_atr"": 2.81405215796735, ""min_stop_pct"": 0.008624543358698547, ""max_hold"": 48, ""cooldown"": 26, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 30, ""adx_min"": 17.46613922612856, ""rsi_long_min"": 37.66971673554167, ""rsi_long_max"": 67.82843359687362, ""volz_min"": 0.16712644334226368, ""body_min"": 0.35123874990820714, ""close_loc_min"": 0.737905248556821, ""ret3_min"": -0.0002955851656047234, ""bb_min"": 0.3358126649545532, ""bb_max"": 0.6213291007497695, ""pull_idx"": 7, ""don_idx"": 0, ""score_need"": 7, ""weights"": [0, 1, 2, 0, 2, 0, 2, 0, 1, 3, 1, 0, 0, 1, 1, 1]}"
27,559.1882286113338,False,2.0,1.0,0.0,1.0,1.0,0.0,1.6882286113338356,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 2.4268753772390386, ""min_stop_pct"": 0.008601667146648577, ""max_hold"": 36, ""cooldown"": 41, ""session_start"": 7, ""session_end"": 12, ""weekday_mask"": 127, ""adx_min"": 27.96624147433659, ""rsi_long_min"": 51.281273787791875, ""rsi_long_max"": 75.04663056511694, ""volz_min"": -0.6637518408577606, ""body_min"": 0.5192256150710468, ""close_loc_min"": 0.7596358340677, ""ret3_min"": -0.0006821667155890401, ""bb_min"": 0.3863113088670863, ""bb_max"": 0.8317334850532978, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 7, ""weights"": [0, 1, 1, 1, 1, 0, 1, 2, 2, 0, 3, 1, 2, 0, 3, 0]}"
28,559.0613474649069,False,2.0,1.0,0.0,1.0,1.0,0.0,1.5613474649068797,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.2623470039313347, ""min_stop_pct"": 0.0060931265672507055, ""max_hold"": 36, ""cooldown"": 10, ""session_start"": 18, ""session_end"": 24, ""weekday_mask"": 120, ""adx_min"": 12.70397429149632, ""rsi_long_min"": 50.10218611400061, ""rsi_long_max"": 72.59807960429377, ""volz_min"": 0.41821189466399966, ""body_min"": 0.23377111757845423, ""close_loc_min"": 0.6928325951263146, ""ret3_min"": -0.0009291602531286044, ""bb_min"": 0.18293412819379182, ""bb_max"": 0.9781613076721538, ""pull_idx"": 6, ""don_idx"": 0, ""score_need"": 6, ""weights"": [0, 0, 3, 2, 2, 1, 0, 0, 3, 0, 0, 1, 2, 3, 0, 0]}"
29,559.0486972603276,False,1.0,1.0,0.0,1.0,1.0,0.0,4.0486972603276214,0.0,"{""direction"": 1, ""trigger"": 3, ""rr"": 2.25, ""sl_atr"": 1.3661928319980121, ""min_stop_pct"": 0.0044664737006853885, ""max_hold"": 72, ""cooldown"": 8, ""session_start"": 16, ""session_end"": 21, ""weekday_mask"": 124, ""adx_min"": 15.24137488346419, ""rsi_long_min"": 52.769090714615245, ""rsi_long_max"": 74.27903654863387, ""volz_min"": 1.7793113478616116, ""body_min"": 0.4442312172378303, ""close_loc_min"": 0.732422856604092, ""ret3_min"": -0.0007652839266107717, ""bb_min"": 0.24106560307738295, ""bb_max"": 0.610793282851017, ""pull_idx"": 2, ""don_idx"": 0, ""score_need"": 7, ""weights"": [0, 1, 0, 1, 2, 0, 3, 3, 0, 3, 2, 0, 2, 0, 1, 1]}"
30,558.9970022007964,False,1.0,1.0,0.0,2.0,1.0,0.0,1.4970022007963624,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 2.723796093551515, ""min_stop_pct"": 0.004914130404251999, ""max_hold"": 36, ""cooldown"": 35, ""session_start"": 10, ""session_end"": 23, ""weekday_mask"": 60, ""adx_min"": 17.626014399510233, ""rsi_long_min"": 52.43298233793374, ""rsi_long_max"": 65.32165215851988, ""volz_min"": 0.37367539182416487, ""body_min"": 0.22812935566421724, ""close_loc_min"": 0.6989879555102327, ""ret3_min"": 0.002464149204570562, ""bb_min"": 0.38047602594991947, ""bb_max"": 1.129234155957855, ""pull_idx"": 1, ""don_idx"": 0, ""score_need"": 10, ""weights"": [2, 2, 0, 1, 3, 0, 2, 0, 1, 3, 2, 3, 2, 0, 2, 3]}"
