expert,family,policy_key,tier,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-11,3,1,0.3333333333333333,1.7126581552271538,0.1862924884014598,9.193382781684575,4.596691390842287,1.3400731784242343,0.3725849768029196,0.4466910594747448
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP重新站回多头,VWAP回归,acb95ebbfdc22945,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-09,3,1,0.3333333333333333,1.4777676570584848,1.3236721975615184,1.1164151213426121,0.5582075606713061,-1.169576738064552,2.647344395123037,-0.389858912688184
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWAP反抽失败空头,VWAP回归,587c65808a002d9d,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阻力转支撑确认多头,结构角色转换,39f3e3b0e2915467,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支撑转阻力确认空头,结构角色转换,174e74ff24ab77a4,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
