channel_id,channel_label,loss_class,trades,avg_net_R,avg_mfe_R,avg_mae_R,median_holding_bars,share_of_channel_losses
matrix_direct_1h_shared_fixed_rr2_5,批量·1H确认直接成交·多空共享·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,1,-1.16994122083349,2.0970972196945916,2.1955262072055883,188.0,0.2
matrix_direct_1h_shared_fixed_rr2_5,批量·1H确认直接成交·多空共享·固定 RR2.5,NORMAL_FAILED_SETUP,4,-1.1331620930162691,0.2772941795336872,1.1064966866727823,73.0,0.8
matrix_direct_1h_short_be1_rr2_0,影子·1H确认直接成交·空头·1R后保本 RR2.0,NORMAL_FAILED_SETUP,3,-1.1446631303626724,0.3099483812829945,1.1361801865181906,75.0,1.0
matrix_direct_1h_short_fixed_rr1_5,批量·1H确认直接成交·空头·固定 RR1.5,NORMAL_FAILED_SETUP,3,-1.1446631303626724,0.3099483812829945,1.1361801865181906,75.0,1.0
matrix_direct_1h_short_fixed_rr2_0,批量·1H确认直接成交·空头·固定 RR2.0,NORMAL_FAILED_SETUP,3,-1.1446631303626724,0.3099483812829945,1.1361801865181906,75.0,1.0
matrix_direct_1h_short_fixed_rr2_5,批量·1H确认直接成交·空头·固定 RR2.5,NORMAL_FAILED_SETUP,3,-1.1446631303626724,0.3099483812829945,1.1361801865181906,75.0,1.0
matrix_local_break_15m_long_fixed_rr2_5,批量·15M局部突破·多头·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,1,-1.0986107204922355,2.3093738817043947,1.0817477990173199,538.0,1.0
matrix_local_break_15m_shared_fixed_rr2_5,批量·15M局部突破·多空共享·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,1,-1.0986107204922355,2.3093738817043947,1.0817477990173199,538.0,1.0
matrix_pullback_reclaim_15m_long_fixed_rr2_5,批量·15M回踩重确认·多头·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,1,-1.0986107204922355,2.3093738817043947,1.0817477990173199,538.0,1.0
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,GAVE_BACK_AT_LEAST_1R,1,-1.1412017555039808,1.2422241084659429,1.0585496595902215,304.0,0.5
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.5
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,GAVE_BACK_AT_LEAST_1R,1,-1.1412017555039808,1.2422241084659429,1.0585496595902215,304.0,0.5
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.5
matrix_pullback_reclaim_15m_shared_fixed_rr2_5,批量·15M回踩重确认·多空共享·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,2,-1.1199062379981082,1.775798995085169,1.0701487293037708,421.0,0.6666666666666666
matrix_pullback_reclaim_15m_shared_fixed_rr2_5,批量·15M回踩重确认·多空共享·固定 RR2.5,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.3333333333333333
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,GAVE_BACK_0_5_TO_1R,1,-1.1699709241032472,0.6928508596466064,1.1009021600864908,67.0,0.3333333333333333
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,GAVE_BACK_AT_LEAST_1R,1,-0.14070175550397748,1.2422241084659429,0.9220274572915564,136.0,0.3333333333333333
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.3333333333333333
matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,GAVE_BACK_AT_LEAST_1R,1,-1.1412017555039808,1.2422241084659429,1.0585496595902215,304.0,0.5
matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.5
matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,GAVE_BACK_AT_LEAST_1R,1,-1.1412017555039808,1.2422241084659429,1.0585496595902215,304.0,0.5
matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.5
matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,1,-1.1412017555039808,1.2422241084659429,1.0585496595902215,304.0,0.5
matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,NORMAL_FAILED_SETUP,1,-1.1233657293837833,0.13259178323684656,1.133968898501242,66.0,0.5
