expert_id,expert,family,rank,policy_key,eligible,reasons,score,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share
1,趋势反抽失败空头,趋势回踩,10,be8174e26fe49fd7,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,11,d317444eddecf6ef,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,12,63fdcfe4ee30ba9a,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,13,fe16db7a7982cbfb,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,14,e89cc3afd8dee9f3,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,15,5c1f855b6015225b,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,16,b297ea80256f2ad6,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
2,趋势整理再加速多头,趋势加速,1,3f6556ec7d78e429,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
2,趋势整理再加速多头,趋势加速,2,2888648fa7e006d7,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
2,趋势整理再加速多头,趋势加速,3,c3ade67f882299b5,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
2,趋势整理再加速多头,趋势加速,4,8116cf0411ed1e91,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
