expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month,valid_blocks,positive_blocks,positive_expectancy_blocks,high_win_rate_blocks,max_single_trade_profit_share,best_trade_removed_net_R,best_two_trades_removed_net_R,loo_month_min_net_R,loo_month_positive_share,cluster_robust,core_policy_selection_tier,legacy_v963_tier,final_rating_source,rating_ignores_execution_budget
20,BTC弱于ETH背离修复多头,跨资产背离,REJECTED,False,False,False,afac444025613291,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
21,BTC强于ETH背离修复空头,跨资产背离,CANDIDATE,False,False,True,fca571982b7c88a0,NO_WATCH_OR_QUALIFIED_EXPERTS,preferred_seed_anchor,False,False,True,收缩后胜率不足|95%胜率可信下界不足,10,5,0.5,1.864239152287175,0.7918253207701366,2.354356577627499,2.354356577627499,5.362069157585193,2.604056198294657,0.5362069157585193,0.5,0.2365895936154873,3,3,0.0,0.44030105784952894,5,2,2,2,1,0.20281700270472175,3.4715721716268124,1.5877723834802877,3.0011444352380994,1.0,True,CANDIDATE,CANDIDATE,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
22,压缩后首次放量突破多头,波动扩张,CANDIDATE,False,False,True,637dd7099e42148f,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|有效三个月验证块不足|正期望验证块不足|高胜率验证块不足|收缩后胜率不足|95%胜率可信下界不足|删除最佳交易后不再盈利|逐月删除稳定性不足|利润过度依赖单笔|利润过度依赖单月|参数簇不稳健,3,1,0.3333333333333333,1.4955536389470225,0.44920212209884924,3.329355685051546,1.664677842525773,0.597149394749324,0.8984042441976985,0.19904979824977467,0.45454545454545453,0.061490315276160515,2,1,-0.8984042441976985,1.0,2,0,0,0,0,1.0,-0.8984042441976985,-0.6745597222173447,-0.8984042441976985,0.5,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
23,压缩后首次放量突破空头,波动扩张,REJECTED,False,False,False,59bcc3e64f2c7f94,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,5,0,0.0,0.0,0.5081322025746299,0.0,0.0,-2.5406610128731493,2.5406610128731493,-0.5081322025746299,0.3076923076923077,-3.139202815737979e-17,1,0,-2.5406610128731493,0.0,5,1,0,0,0,0.0,-2.3699739154479555,-2.199272172796143,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
24,向下假突破回区间多头,假突破反转,REJECTED,False,False,False,d5f361a753574b48,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,1.3031140960605154,0.0,0.0,-1.3031140960605154,1.3031140960605154,-1.3031140960605154,0.4444444444444444,0.0,1,0,-1.3031140960605154,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
25,向上假突破回区间空头,假突破反转,REJECTED,False,False,False,5f2fe4ee3fec03dd,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
26,资金费率极端回归多头,衍生品反转,REJECTED,False,False,False,fcc89570f6af5d59,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
27,资金费率极端回归空头,衍生品反转,REJECTED,False,False,False,ab1a7bf6d11e9bd8,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,5,0,0.0,0.0,0.863856423292285,0.0,0.0,-4.319282116461425,4.319282116461425,-0.863856423292285,0.3076923076923077,-3.139202815737979e-17,1,0,-4.319282116461425,0.0,5,1,0,0,0,0.0,-4.115804931606909,-3.912270878759111,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
28,合约溢价极端修复多头,基差反转,REJECTED,False,False,False,48c0a571f023845e,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,0.20363843820611607,0.0,0.0,-0.20363843820611607,0.20363843820611607,-0.20363843820611607,0.4444444444444444,0.0,1,0,-0.20363843820611607,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
29,合约溢价极端修复空头,基差反转,REJECTED,False,False,False,9cc0c5de692aa62f,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
