channel_id,channel_label,family,profile,reward_risk_target,stop_atr_multiple,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,signal_plus_di,signal_minus_di,signal_ema_separation_atr,signal_ema_slope_3_atr,signal_volume_ratio,signal_clv,signal_channel_width_atr,month,phase,is_baseline
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-01-13T17:00:00+00:00,2025-01-13T17:00:00+00:00,2025-01-13T19:50:00+00:00,-1,91322.7,92449.61705657146,87941.94883028563,92449.81705657145,1126.917056571457,-1.000177475350855,0.08153772985550627,-1.0817152052063612,False,STOP,34,979.9278752795278,27.237672174819945,34.19258200963192,14.875277276202043,35.396695976748575,0.876422933325652,-0.35076367272286535,1.3976487379075435,0.9001844839304894,7.169405195250673,2025-01,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-01-14T18:00:00+00:00,2025-01-14T18:00:00+00:00,2025-01-15T15:05:00+00:00,1,96481.4,95473.2241504482,99505.92754865538,99505.72754865538,1008.175849551796,2.9998016219094255,0.097198880351967,2.9026027415574585,True,TARGET,253,876.6746517841705,28.34065816342626,62.08656504989157,24.186915128256764,16.90898016946406,0.9025168872639903,0.2976616494727199,0.9039995571984707,0.9805208333333364,4.564749296510054,2025-01,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-02-27T17:00:00+00:00,2025-02-27T17:00:00+00:00,2025-02-28T02:35:00+00:00,-1,84450.2,85680.84587401107,80758.26237796678,80758.46237796677,1230.6458740110713,2.9998374837114277,0.06712274662714243,2.9327147370842854,True,TARGET,115,1070.126846966149,32.510576868127735,37.87872338289244,12.620097843403249,25.80250196559849,1.2323209244551545,-0.2751069442700986,1.1225219714974277,0.905329854640328,4.526566185805848,2025-02,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-03-10T09:00:00+00:00,2025-03-10T09:00:00+00:00,2025-03-10T09:20:00+00:00,-1,81309.6,82325.38760159104,78262.23719522693,82325.58760159103,1015.7876015910259,-1.0001968915545805,0.08054596617702836,-1.0807428577316087,False,STOP,4,883.2935666008922,34.40980930597034,35.07614978174419,17.249503117500506,26.83480068631519,1.7431558813043608,-0.23814286419191005,1.1293429648516395,0.8395408572804673,5.767844567922687,2025-03,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-03-10T15:00:00+00:00,2025-03-10T15:00:00+00:00,2025-03-11T08:50:00+00:00,-1,79813.5,81218.12110453924,75599.63668638228,81218.32110453924,1404.621104539241,-1.0001423871529131,0.05732215633957836,-1.0574645434924914,False,STOP,214,1221.4096561210793,27.517406976137615,33.853523423353195,19.94945816857057,32.07448677144466,1.1125681291954623,-0.2546455134421973,4.0411751863518015,0.7159850986368661,3.355221550331151,2025-03,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-03-30T17:00:00+00:00,2025-03-30T17:00:00+00:00,2025-03-30T18:30:00+00:00,-1,82253.1,82747.42313399554,80770.13059801339,82747.62313399554,494.3231339955371,-1.0004045936478465,0.1668956111767624,-1.1673002048246088,False,STOP,18,429.8462034743801,25.152361348748602,36.15175905040492,10.764615096317993,26.84397053204501,1.3328208098232315,-0.27591908673258625,2.0392723355832323,0.8055427958964954,2.9685035942769535,2025-03,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-03-31T10:00:00+00:00,2025-03-31T10:00:00+00:00,2025-03-31T10:50:00+00:00,-1,81419.7,82033.53213383113,79578.2035985066,82033.73213383113,613.8321338311306,-1.0003258219779965,0.13314180141862555,-1.133467623396622,False,STOP,10,533.7670728966353,41.9682711718913,36.01063652768661,8.413576152444747,28.361126033127555,1.1896035134715859,-0.26554455765511725,1.5294550428755092,0.797012578616343,3.5509871182463155,2025-03,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-04-23T17:00:00+00:00,2025-04-23T17:00:00+00:00,2025-04-24T04:00:00+00:00,1,93585.7,92619.25083184743,96485.04750445772,92619.05083184743,966.4491681525736,-1.0002069431135985,0.09633447726370811,-1.0965414203773065,False,STOP,132,840.390581002238,61.380373266039605,62.75113309019639,31.20673635510521,12.366345451782028,2.1979770665391567,0.1400060851094848,0.9887805360795803,0.7984163642362231,4.646648937144145,2025-04,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-05-11T11:00:00+00:00,2025-05-11T11:00:00+00:00,2025-05-11T14:00:00+00:00,1,104608.3,103976.16478576498,106504.70564270507,103975.96478576498,632.1352142350208,-1.0003163880060704,0.16498389908414093,-1.1653002870902114,False,STOP,36,549.6827949869747,25.701755625955457,61.099594386131045,25.678083598321034,14.347232048896238,1.2484340704130537,0.2768734667596238,1.0109066521047532,0.9382045929018668,3.7477978550316857,2025-05,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-06-18T11:00:00+00:00,2025-06-18T11:00:00+00:00,2025-06-18T14:05:00+00:00,-1,104218.7,104865.66841602116,102277.7947519365,104865.86841602116,646.9684160211667,-1.0003091341015102,0.16158792549865417,-1.1618970596001643,False,STOP,37,562.5812313227538,26.699961496231587,36.84973437984871,16.665995332620636,27.729368935394497,0.9103892466350827,-0.2312234001989724,1.0054639921467725,0.8345656192236494,4.180196332662266,2025-06,development,False
