expert_id,expert,policy_key,tier,rating_source,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,sample_state,effective_win_rate,month_validation_passed
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,3,1,0.3333333333333333,1.7126581552271538,0.1862924884014598,9.193382781684575,4.596691390842287,1.3400731784242343,0.3725849768029196,0.4466910594747448,LOW_CONFIDENCE_OBSERVATION,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,3,0,0.0,0.0,0.9198874668559321,0.0,0.0,-2.7596624005677963,2.7596624005677963,-0.9198874668559321,LOW_CONFIDENCE_OBSERVATION,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
