expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,sample_uncertainty_penalty,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-06,27,True,2025-05,19.0,0.15620564054341105,0.16582266834819065,1.5170789327789338,0.7939538971083692,0.12617865362880898,0.21052760039338209,-0.47312374171524196,0.2151668081227628,-0.4649089298659927,6.0,0.0,0.0,6.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-07,4,True,2025-06,27.0,0.17385298437729574,0.18985273420293589,1.5019265075402102,1.01056038477715,0.1058475493514314,0.25926085435934215,-0.5067133471934686,0.31299470026756254,-0.4031258368168968,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-08,12,False,,,,,,,,,,,,,,,,,,
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-09,7,True,2025-08,12.0,0.24148413642584943,0.2398932654250723,1.4993087114315702,1.302395897109275,0.1587713240271471,0.583320820651841,0.12399110790226037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-10,28,False,,,,,,,,,,,,,,,,,,
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-11,39,True,2025-10,28.0,0.1276380516869872,0.14591324064607333,1.5108454925419008,0.9352947276681075,0.10394023007753748,0.1785735317208637,-0.6381557076154225,0.19742822925189785,-0.6032253782140304,12.0,0.0,0.0,12.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-12,20,True,2025-11,39.0,0.11173380013965224,0.1114365099810614,1.5772166120888695,0.87621806221303,0.08807048459279793,0.12828161904351823,-0.6830138717864954,0.12792617829871492,-0.6833645660098894,4.0,0.0,0.0,4.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2026-01,10,True,2025-12,20.0,0.12030849353553182,0.1931651584081552,1.498755952229436,1.132257880903079,0.12298373876248844,0.3000146014900671,-0.5005941364818735,0.2147762386069158,-0.675027470198222,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2026-02,61,False,,,,,,,,,,,,,,,,,,
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2026-03,32,True,2026-02,61.0,0.16829077206976745,0.18382452837426824,1.6020499732057831,0.8325833861959242,0.0704202839630928,0.24589480756627616,-0.34536192899201934,0.31816642331569295,-0.21070532846918325,15.0,0.0,0.0,15.0,0.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2026-04,8,True,2026-03,32.0,0.21483505392342866,0.2146403220529532,1.5203462111618966,0.6174157806298681,0.09722718241315029,0.3125092010592011,-0.09292160681164585,0.31377799878497514,-0.0912625608986186,2.0,0.0,2.0,0.0,2.0,0.0,0.0
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2026-05,5,False,,,,,,,,,,,,,,,,,,
