month,signal_i,exit_i,day,net_r,win,probability,online_percentile,meta_probability,meta_decision,raw_expected_utility,evidence_weight,calibration_weight,reliability_weight,evidence_utility,signal_class,allocation_bucket,selected,first_reject_stage
2026-01,89703,89704,2026-01-14,-1.2651195544318625,False,0.40767510462071344,1.0,0.32664491718586686,NEUTRAL,0.1943082677121295,0.4782608695652174,0.65,0.31086956521739134,0.060404526701814176,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-01,93990,93995,2026-01-30,-0.09074335126279931,False,0.4029731142484952,0.975,0.3114158059888896,NEUTRAL,0.17371693818909517,0.4782608695652174,0.65,0.31086956521739134,0.05400330904574046,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-01,94026,94032,2026-01-30,-0.08164347753032455,False,0.5012431359502408,1.0,0.32051698077526813,NEUTRAL,0.3870429626214231,0.4782608695652174,0.65,0.31086956521739134,0.12031987751057285,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,110268,110279,2026-04-01,-1.2715560653592688,False,0.34224627143976405,0.875,0.34719714738526813,NEUTRAL,0.2628177307364539,0.48936170212765956,0.65,0.3180851063829787,0.083598405840638,NEUTRAL,NEUTRAL,True,SELECTED
2026-04,110715,110764,2026-04-03,-0.17102508223255208,False,0.30640383116588704,0.8,0.34484995953568237,NEUTRAL,0.1952498505391564,0.48936170212765956,0.65,0.3180851063829787,0.062106069480008255,NEUTRAL,NEUTRAL,True,SELECTED
2026-04,111532,111579,2026-04-06,1.8300055315261816,True,0.3489831855181098,0.9230769230769231,0.3481556910539604,NEUTRAL,0.2758358892802677,0.48936170212765956,0.65,0.3180851063829787,0.08773928818595748,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,112113,112118,2026-04-08,1.8527370445175673,True,0.4049030107702573,1.0,0.3518636909468548,NEUTRAL,0.3812806734483217,0.48936170212765956,0.65,0.3180851063829787,0.12127970357558318,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,113727,113733,2026-04-14,1.8619666030568092,True,0.39266361597202337,0.96875,0.3510697966783391,NEUTRAL,0.35821243252765156,0.48936170212765956,0.65,0.3180851063829787,0.11394203970826362,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,114531,114542,2026-04-17,-1.194673848969825,False,0.40732464617868314,1.0,0.3509815937402566,NEUTRAL,0.3852058138681698,0.48936170212765956,0.65,0.3180851063829787,0.12252823228359869,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,114532,114542,2026-04-17,-1.1947261496607022,False,0.417591333705021,1.0,0.34988247301672326,NEUTRAL,0.40347055703114615,0.48936170212765956,0.65,0.3180851063829787,0.1283379750556518,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,114535,114542,2026-04-17,-1.202651479906994,False,0.39786801317872145,0.9166666666666666,0.3496244403721945,NEUTRAL,0.36692501391459115,0.48936170212765956,0.65,0.3180851063829787,0.11671338208559867,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,115699,115721,2026-04-22,-1.2714789171698233,False,0.3777112531145595,0.8421052631578947,0.3481333494403339,NEUTRAL,0.3288215579663339,0.48936170212765956,0.65,0.3180851063829787,0.10459324024673812,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,115700,115721,2026-04-22,-1.271479000834533,False,0.3941677477885529,0.8974358974358975,0.348738372041295,NEUTRAL,0.35955363146776953,0.48936170212765956,0.65,0.3180851063829787,0.11436865511581179,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,115701,115721,2026-04-22,-1.2714791849665645,False,0.3667376547464626,0.8,0.34783721978671756,NEUTRAL,0.3083946434826392,0.48936170212765956,0.65,0.3180851063829787,0.09809574298011607,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,115862,115867,2026-04-22,-0.17090486016205067,False,0.4030435219494544,0.926829268292683,0.35110008728673864,NEUTRAL,0.37738058561699495,0.48936170212765956,0.65,0.3180851063829787,0.12003914372285264,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
2026-04,116169,116215,2026-04-23,-1.2384774891627814,False,0.40080574991716367,0.9111111111111111,0.34705600601907366,NEUTRAL,0.3707652701525429,0.48936170212765956,0.65,0.3180851063829787,0.11793491039958545,NEUTRAL,NEUTRAL,False,NEUTRAL_MONTHLY_CAP
