expert_id,expert,family,anchor_policy_key,anchor_tier,anchor_trades,cluster_size,cluster_policy_keys,cluster_positive_share,cluster_mature_share,cluster_median_trades,cluster_median_active_months,cluster_median_net_R,cluster_min_net_R,cluster_signal_consensus,cluster_robust
1,趋势反抽失败空头,趋势回踩,d6b6913945880878,REJECTED,1,6,d6b6913945880878|66c4e506115bcabc|cf9d7027a014a4bc|84ee61c08f9c36c2|fcdc5ffc06cef7e2|304ab173a2ce9c87,0.0,0.0,1.0,1.0,-0.8523612723718867,-2.0939946451577924,0.8,False
1,趋势反抽失败空头,趋势回踩,6dc5691af02ce058,REJECTED,2,6,6dc5691af02ce058|a17c3c0e2b30486c|ea610f2e76039d9d|da51c7f197a1b096|9041ae9da2c76ff2|1c7ae8d6e1b7e820,0.3333333333333333,0.0,2.5,2.0,-0.6157186285838419,-1.4732158032082505,0.9,False
1,趋势反抽失败空头,趋势回踩,1c7ae8d6e1b7e820,REJECTED,1,6,1c7ae8d6e1b7e820|d623eb7ff80605fe|2bf636f6d1166fd7|db8df4b18426d594|43f9a8c929c8de10|6dc5691af02ce058,0.5,0.0,2.0,1.0,0.02779022251852145,-1.4732158032082505,1.0,False
1,趋势反抽失败空头,趋势回踩,ea610f2e76039d9d,CANDIDATE,3,6,ea610f2e76039d9d|da51c7f197a1b096|9041ae9da2c76ff2|1e5e17a24022c0e5|6dc5691af02ce058|a17c3c0e2b30486c,0.3333333333333333,0.0,3.0,2.0,-1.0452390522011545,-1.4732158032082505,0.7333333333333334,False
1,趋势反抽失败空头,趋势回踩,2bf636f6d1166fd7,REJECTED,2,6,2bf636f6d1166fd7|db8df4b18426d594|43f9a8c929c8de10|10f0933547048a02|1c7ae8d6e1b7e820|d623eb7ff80605fe,0.6666666666666666,0.0,2.0,1.0,0.24177865000357224,-0.1861981010035239,0.6,True
1,趋势反抽失败空头,趋势回踩,9041ae9da2c76ff2,REJECTED,4,6,9041ae9da2c76ff2|1e5e17a24022c0e5|ea610f2e76039d9d|da51c7f197a1b096|6dc5691af02ce058|43f9a8c929c8de10,0.5,0.0,3.0,2.0,-0.4018567451294567,-1.4732158032082505,0.6499999999999999,False
1,趋势反抽失败空头,趋势回踩,43f9a8c929c8de10,REJECTED,3,6,43f9a8c929c8de10|10f0933547048a02|2bf636f6d1166fd7|db8df4b18426d594|1c7ae8d6e1b7e820|9041ae9da2c76ff2,0.6666666666666666,0.0,2.5,1.0,0.24177865000357224,-1.0452391561641599,0.6,True
1,趋势反抽失败空头,趋势回踩,a17c3c0e2b30486c,REJECTED,2,6,a17c3c0e2b30486c|6dc5691af02ce058|da51c7f197a1b096|ea610f2e76039d9d|1e5e17a24022c0e5|d623eb7ff80605fe,0.3333333333333333,0.0,2.5,2.0,-0.6157185246208364,-1.4732158032082505,0.9,False
1,趋势反抽失败空头,趋势回踩,d623eb7ff80605fe,REJECTED,1,6,d623eb7ff80605fe|1c7ae8d6e1b7e820|db8df4b18426d594|2bf636f6d1166fd7|10f0933547048a02|a17c3c0e2b30486c,0.5,0.0,2.0,1.0,0.027790326481526878,-1.4732158032082505,1.0,False
1,趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,3,6,da51c7f197a1b096|ea610f2e76039d9d|1e5e17a24022c0e5|9041ae9da2c76ff2|a17c3c0e2b30486c|6dc5691af02ce058,0.3333333333333333,0.0,3.0,2.0,-1.0452390522011545,-1.4732158032082505,0.7333333333333334,False
1,趋势反抽失败空头,趋势回踩,db8df4b18426d594,REJECTED,2,6,db8df4b18426d594|2bf636f6d1166fd7|10f0933547048a02|43f9a8c929c8de10|d623eb7ff80605fe|1c7ae8d6e1b7e820,0.6666666666666666,0.0,2.0,1.0,0.24177865000357224,-0.1861981010035239,0.6,True
1,趋势反抽失败空头,趋势回踩,1e5e17a24022c0e5,REJECTED,4,6,1e5e17a24022c0e5|9041ae9da2c76ff2|da51c7f197a1b096|ea610f2e76039d9d|a17c3c0e2b30486c|10f0933547048a02,0.5,0.0,3.0,2.0,-0.4018567451294567,-1.4732158032082505,0.6499999999999999,False
1,趋势反抽失败空头,趋势回踩,10f0933547048a02,REJECTED,3,6,10f0933547048a02|43f9a8c929c8de10|db8df4b18426d594|2bf636f6d1166fd7|d623eb7ff80605fe|1e5e17a24022c0e5,0.6666666666666666,0.0,2.5,1.0,0.24177865000357224,-1.045238948238149,0.6,True
2,EMA21回踩收回多头,均线回踩,57c6d8ed313f7b81,REJECTED,0,6,57c6d8ed313f7b81|915157e664ef79b8|f9803b6fc9c4b614|ffd67b85d0decc5d|4031389b6c492ad0|0692fa8f4d83e0dc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,0692fa8f4d83e0dc,REJECTED,0,6,0692fa8f4d83e0dc|8d324d0acefa1133|195fedeeeb08219c|526c9b8e9ff7fb3c|0323730da9a588fc|57c6d8ed313f7b81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,f9803b6fc9c4b614,REJECTED,0,6,f9803b6fc9c4b614|ffd67b85d0decc5d|4031389b6c492ad0|1cb9b9c7c2eeb276|57c6d8ed313f7b81|915157e664ef79b8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,195fedeeeb08219c,REJECTED,0,6,195fedeeeb08219c|526c9b8e9ff7fb3c|0323730da9a588fc|2283714d9ab507f0|0692fa8f4d83e0dc|8d324d0acefa1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,4031389b6c492ad0,REJECTED,0,6,4031389b6c492ad0|1cb9b9c7c2eeb276|f9803b6fc9c4b614|ffd67b85d0decc5d|57c6d8ed313f7b81|0323730da9a588fc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,0323730da9a588fc,REJECTED,0,6,0323730da9a588fc|2283714d9ab507f0|195fedeeeb08219c|526c9b8e9ff7fb3c|0692fa8f4d83e0dc|4031389b6c492ad0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,915157e664ef79b8,REJECTED,0,6,915157e664ef79b8|57c6d8ed313f7b81|ffd67b85d0decc5d|f9803b6fc9c4b614|1cb9b9c7c2eeb276|8d324d0acefa1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,8d324d0acefa1133,REJECTED,0,6,8d324d0acefa1133|0692fa8f4d83e0dc|526c9b8e9ff7fb3c|195fedeeeb08219c|2283714d9ab507f0|915157e664ef79b8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,ffd67b85d0decc5d,REJECTED,0,6,ffd67b85d0decc5d|f9803b6fc9c4b614|1cb9b9c7c2eeb276|4031389b6c492ad0|915157e664ef79b8|57c6d8ed313f7b81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,526c9b8e9ff7fb3c,REJECTED,0,6,526c9b8e9ff7fb3c|195fedeeeb08219c|2283714d9ab507f0|0323730da9a588fc|8d324d0acefa1133|0692fa8f4d83e0dc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,1cb9b9c7c2eeb276,REJECTED,0,6,1cb9b9c7c2eeb276|4031389b6c492ad0|ffd67b85d0decc5d|f9803b6fc9c4b614|915157e664ef79b8|2283714d9ab507f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,2283714d9ab507f0,REJECTED,0,6,2283714d9ab507f0|0323730da9a588fc|526c9b8e9ff7fb3c|195fedeeeb08219c|8d324d0acefa1133|1cb9b9c7c2eeb276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,EMA21回踩收回多头,均线回踩,c5bc335c43c4ea0c,REJECTED,0,6,c5bc335c43c4ea0c|7926fb165fff515d|5f52dd58bf5d2bde|eec6093cdc09b09a|1e3bc813961e1078|aa5b63e4a0326cc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
